"effect","group","term","estimate","std.error","statistic","df","p.value"
"fixed",NA,"(Intercept)",1376.19258933141,636.9913740356,2.16045718266586,24.9900736470977,0.0405240568416064
"fixed",NA,"log(mean_kelp_biomass + 1.1)",-381.132301994688,169.292678007151,-2.25132183199672,25.053447943098,0.0333816081713658
"fixed",NA,"YEAR",-0.679646539150171,0.315161727341337,-2.1565008698346,24.9900444877426,0.0408629781311202
"fixed",NA,"log(mean_kelp_biomass + 1.1):YEAR",0.188777359223534,0.0838040795353633,2.25260345642093,25.0536328322099,0.0332898125300934
"ran_pars","SITE","sd__(Intercept)",0.761476737951767,NA,NA,NA,NA
"ran_pars","Residual","sd__Observation",0.671742807563835,NA,NA,NA,NA
