SITE,TRANSECT,0M,4M,8M,12M,16M,20M,24M,28M,32M,36M,40M,OBSERVER
FW,3,2,3,3,3,5,3,3,3,2,2,2,Austin
FW,5,3,3,2,3,2,2,3,5,3,2,3,Austin
FW,4,3,2,1,5,3,2,3,4,5,2,3,Austin
,,,,,,,,,,,,,Austin
,,,,,,,,,,,,,Austin
,,,,,,,,,,,,,Austin
,,,,,,,,,,,,,Austin
,,,,,,,,,,,,,Austin
,,,,,,,,,,,,,Austin
