YEAR,MONTH,DATE,SITE,TRANSECT,DISTANCE,SIDE,SP_CODE_1,SUBSTRTE,NOTES,ENTERED BY,CHECKED BY
2016,8,8/24/16,Fort Weatherill,3,1,I,COTR,BS,,,
2016,8,8/24/16,Fort Weatherill,3,1,O,COTR,S,,,
2016,8,8/24/16,Fort Weatherill,3,2,I,COTR,BS,,,
2016,8,8/24/16,Fort Weatherill,3,2,O,POLS,S,,,
2016,8,8/24/16,Fort Weatherill,3,3,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,3,O,.,S,,,
2016,8,8/24/16,Fort Weatherill,3,4,I,GRAM,B,,,
2016,8,8/24/16,Fort Weatherill,3,4,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,5,I,COTR,S,,,
2016,8,8/24/16,Fort Weatherill,3,5,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,6,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,6,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,7,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,7,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,8,I,,,,,
2016,8,8/24/16,Fort Weatherill,3,8,O,,,,,
2016,8,8/24/16,Fort Weatherill,3,9,I,,,,,
2016,8,8/24/16,Fort Weatherill,3,9,O,,,,,
2016,8,8/24/16,Fort Weatherill,3,10,I,,,,,
2016,8,8/24/16,Fort Weatherill,3,10,O,,,,,
2016,8,8/24/16,Fort Weatherill,3,11,I,,,,,
2016,8,8/24/16,Fort Weatherill,3,11,O,,,,,
2016,8,8/24/16,Fort Weatherill,3,12,I,,,,,
2016,8,8/24/16,Fort Weatherill,3,12,O,,,,,
2016,8,8/24/16,Fort Weatherill,3,13,I,,,,,
2016,8,8/24/16,Fort Weatherill,3,13,O,,,,,
2016,8,8/24/16,Fort Weatherill,3,14,I,,,,,
2016,8,8/24/16,Fort Weatherill,3,14,O,,,,,
2016,8,8/24/16,Fort Weatherill,3,15,I,,,,,
2016,8,8/24/16,Fort Weatherill,3,15,O,,,,,
2016,8,8/24/16,Fort Weatherill,3,16,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,16,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,17,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,17,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,18,I,SL,B,,,
2016,8,8/24/16,Fort Weatherill,3,18,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,19,I,SL,B,,,
2016,8,8/24/16,Fort Weatherill,3,19,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,20,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,20,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,21,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,21,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,22,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,22,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,23,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,23,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,24,I,CHCR,B,,,
2016,8,8/24/16,Fort Weatherill,3,24,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,25,I,LS,B,,,
2016,8,8/24/16,Fort Weatherill,3,25,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,26,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,26,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,27,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,27,O,CHCR,B,,,
2016,8,8/24/16,Fort Weatherill,3,28,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,28,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,29,I,.,B,,,
2016,8,8/24/16,Fort Weatherill,3,29,O,.,B,,,
2016,8,8/24/16,Fort Weatherill,3,30,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,30,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,31,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,31,O,PHRU,B,,,
2016,8,8/24/16,Fort Weatherill,3,32,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,32,O,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,33,I,COTR,B,,,
2016,8,8/24/16,Fort Weatherill,3,33,O,COTR,B,,,
