YEAR,MONTH,DAY,SITE,TRANSECT,LATITUDE_UTM,LONGITUDE_UTM,WATER_TEMP,START_DEPTH,END_DEPTH,VISIBILITY_M,NOTES,ENTERED BY,CHECKED BY
2017,8,29,FTWE,1,302415.82,4594441.06,66,10,7,3,,Austin,Evans
2017,8,29,FTWE,2,302652.89,4594401.24,66,8,9,2.5,,Austin,Evans
2017,8,31,FTWE,3,302809.88,4594531.95,64,9,8,2,,Austin,Evans
2017,8,31,FTWE,4,303000.93,4594453.07,66,7,10,1.5,,Austin,Evans
