YEAR,MONTH,DAY,SITE,TRANSECT,LATITUDE_UTM,LONGITUDE_UTM,WATER_TEMP,START_DEPTH,END_DEPTH,VISIBILITY_M,NOTES,ENTERED BY,CHECKED BY
2016,8,23,FTWE,1,302415.82,4594441.06,70,6,8,2,,Austin,Jack
2016,8,23,FTWE,2,302652.89,4594401.24,70,9,6,2,,Austin,Jack
2016,8,24,FTWE,3,302809.88,4594531.95,68,9,8,1.5,,Austin,Jack
2016,8,24,FTWE,4,303000.93,4594453.07,66,7,8,2,,Austin,Jack
