SITE,TRANSECT,0M,4M,8M,12M,16M,20M,24M,28M,32M,36M,40M,DEPTH @ 0M (ft),DEPTH @ (40M),VIS (M),TEMP,OBSERVER,NOTES,ENTERED BY,CHECKED BY
Fort Wetherill,3,2,2,3,2,1,1,2,2,2,2,3,31,28,1.5,,Austin,,Austin,
Fort Wetherill,4,3,3,2,2,3,4,4,3,4,4,3,26,33,2,,Austin,,Austin,
Fort Wetherill,1,2,1,1,2,3,3,2,2,2,2,1,33,31,2,,Austin,,Austin,
Kings Beach,2,2,4,2,3,4,4,3,4,3,3,3,32,30,2,,Austin,,Austin,
Kings Beach,4,2,3,3,3,2,3,2,2,3,3,2,23,29,1.5,,Austin,,Austin,
Kings Beach,3,3,4,2,2,3,2,2,2,3,2,3,35,30,2,,Austin,,Austin,
