Year,Month,Day,Date,Site,Transect,SP_CODE,BLADE LENGTH (CM),WIDTH (CM),STIPE LENGTH (CM),OBSERVER,NOTES,ENTERED
2017,8,31,8/31/17,Fort Wetherill,4,SL,134.6,23,NA,CHRIS PIAGHT,SEXY,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,4,LD,54,11.6,5.4,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,4,LD,79.4,16.8,4,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,4,LD,89.6,24.6,6,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,4,SL,168,12.6,NA,CHRIS PIAGHT,SEXY,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,4,SL,158,27.4,NA,CHRIS PIAGHT,SEXY,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,4,SL,145,11.8,NA,CHRIS PIAGHT,SEXY,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,4,SL,129.4,19,NA,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,4,SL,129.8,14,8.2,CHRIS PIAGHT,SEXY,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,4,SL,102,8,3.4,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,4,SL,106,11.8,NA,CHRIS PIAGHT,SEXY,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,4,SL,121.4,10.6,NA,CHRIS PIAGHT,,CHRIS PIAGHT
